Date,SPX,NDAQ,AAPL,MSFT,NFLX,NVDA
06/04/2020,2578.280029,31.12506421,60.88818127,153.4548856,365.2200012,6.358161216
07/04/2020,2738.649902,32.63006944,65.71748491,162.3280115,380,6.907688
08/04/2020,2685,31.63609037,63.76147022,158.5758148,374.0100098,6.561681391
09/04/2020,2776.98999,32.6487646,65.20784513,159.2362713,371.0599976,6.775661334
13/04/2020,2782.459961,32.80767834,65.11322227,157.3123218,371.3099976,6.490437078
14/04/2020,2805.100098,32.91983825,67.95012659,161.7631658,397.5,6.850393977
15/04/2020,2795.639893,33.06317943,68.53256172,163.8690083,413,6.905195744
16/04/2020,2799.340088,33.30621925,69.7411033,166.8362478,437,7.151312306
17/04/2020,2842.429932,34.61804159,69.08829799,171.8135576,431,7.423335632
20/04/2020,2845.620117,34.20360566,67.45265367,169.0664677,435.1700134,7.155298397
21/04/2020,2784.810059,33.56483635,67.04735361,166.0705115,444.769989,7.032489327
22/04/2020,2787.889893,33.80789163,66.39940915,164.0508502,429.730011,6.905943793
23/04/2020,2810.419922,33.33114702,66.94787572,166.6543877,419.2600098,7.170245322
24/04/2020,2812.639893,32.64564183,67.27062041,164.692166,425,7.064623847
27/04/2020,2854.649902,33.37477258,68.38692972,169.0282128,425,7.348353959
28/04/2020,2909.959961,35.37520347,69.18295149,168.0710207,419.9899902,7.547887184
29/04/2020,2918.459961,35.13215713,69.09799751,165.802515,399.5299988,7.392695963
30/04/2020,2930.909912,33.88578824,70.36720105,172.2921602,410.3099976,7.380738028
01/05/2020,2869.090088,33.34050134,69.46686565,168.271991,415.1000061,7.083306977
04/05/2020,2815.01001,32.96971003,70.17549663,167.0181352,417.7799988,6.996866919
05/05/2020,2868.879883,33.50876117,71.60486561,172.8855879,427.5599976,7.36031168
06/05/2020,2883.139893,34.20361013,72.91533768,174.2830947,429.2999878,7.396681012
07/05/2020,2878.26001,33.26259031,73.58513617,176.2835908,436.8900146,7.557353782
08/05/2020,2908.830078,34.02911641,74.37319857,177.0589003,434.1400146,7.666213662
11/05/2020,2915.459961,33.02267333,74.97180699,175.3072781,436.3299866,7.779555589
12/05/2020,2939.5,34.2752743,77.33945712,178.8009763,442,8.094424016
13/05/2020,2865.860107,33.81411598,75.95730874,174.7329595,435.6900024,7.889162511
14/05/2020,2794.540039,33.44955752,74.09823268,169.9375144,444.8999939,7.813681999
15/05/2020,2829.949951,34.20984891,73.08595077,171.3924253,440.7000122,7.861513069
18/05/2020,2913.860107,35.80830742,76.20553197,177.7959548,451.1600037,8.729146512
19/05/2020,2948.590088,35.58397521,76.65813571,177.1067679,453.3999939,8.758789284
20/05/2020,2953.629883,35.20693696,77.05961894,177.3888687,454.25,8.958821479
21/05/2020,2969.949951,35.47803432,77.54142773,177.9551803,448.5599976,9.019104243
22/05/2020,2948.050049,35.54657631,76.83819763,175.8339401,437,8.793662419
26/05/2020,3004.080078,36.898896,78.71918199,178.8574086,427.769989,9.123975151
27/05/2020,3015.649902,36.69947309,76.9282281,172.9639427,410.3800049,8.594130176
28/05/2020,3046.610107,36.247669,77.08151818,173.4823279,417.2399902,8.382140677
29/05/2020,3025.169922,36.24454814,77.68501099,175.392402,417.4599915,8.523880728
01/06/2020,3038.780029,37.1731012,77.32000897,175.2100097,418.8299866,8.801637341
02/06/2020,3064.780029,37.15750884,78.04999766,176.8513167,425.8699951,8.764768439
03/06/2020,3098.899902,37.38186489,79.00144798,177.398469,426.9500122,8.790676154
04/06/2020,3111.560059,37.11077187,78.93572915,176.8993121,422.3900146,8.70073045
05/06/2020,3163.840088,37.24789279,78.6826692,175.2868022,407.2900085,8.767022292
08/06/2020,3199.919922,37.19490831,80.36170066,178.4734885,416,8.849514298
09/06/2020,3213.320068,37.50338467,80.82159171,180.4507742,421.6499939,8.772507548
10/06/2020,3213.419922,37.2572234,84.65659267,183.4551018,436,9.139106707
11/06/2020,3123.530029,37.07206346,84.99968557,185.3747712,428.2000122,9.121411379
