Date,SPX,AAPL,MSFT,NFLX,NVDA
23/04/2020,2810.419922,66.94787572,166.6543722,419.2600098,7.170244839
24/04/2020,2812.639893,67.27063536,164.6921961,425,7.064624781
27/04/2020,2854.649902,68.3869525,169.0281973,425,7.348353959
28/04/2020,2909.959961,69.18293588,168.0709891,419.9899902,7.54788768
29/04/2020,2918.459961,69.09798241,165.802515,399.5299988,7.392695963
30/04/2020,2930.909912,70.36720105,172.2921142,410.3099976,7.380738028
01/05/2020,2869.090088,69.46687321,168.2720064,415.1000061,7.083306018
04/05/2020,2815.01001,70.17548911,167.0181203,417.7799988,6.996866919
05/05/2020,2868.879883,71.60487317,172.8856184,427.5599976,7.36031168
06/05/2020,2883.139893,72.91535293,174.2831099,429.2999878,7.396680537
07/05/2020,2878.26001,73.58511332,176.2836061,436.8900146,7.557354731
08/05/2020,2908.830078,74.3732136,177.0589461,434.1400146,7.666212723
11/05/2020,2915.459961,74.97182191,175.3072481,436.3299866,7.779558358
12/05/2020,2939.5,77.3394649,178.8009763,442,8.094425505
13/05/2020,2865.860107,75.95733196,174.7329905,435.6900024,7.889162511
14/05/2020,2794.540039,74.09823268,169.9374994,444.8999939,7.81368293
15/05/2020,2829.949951,73.08594333,171.3924253,440.7000122,7.861511297
18/05/2020,2913.860107,76.20552438,177.7959701,451.1600037,8.729144603
19/05/2020,2948.590088,76.65814339,177.1067526,453.3999939,8.758788332
20/05/2020,2953.629883,77.05961894,177.3888535,454.25,8.958821479
21/05/2020,2969.949951,77.54144308,177.955134,448.5599976,9.01910621
22/05/2020,2948.050049,76.83819763,175.8339249,437,8.793662419
26/05/2020,3004.080078,78.71917419,178.8574556,427.769989,9.123977154
27/05/2020,3015.649902,76.92823568,172.9639729,410.3800049,8.594130176
28/05/2020,3046.610107,77.08151818,173.4823279,417.2399902,8.382142568
29/05/2020,3025.169922,77.68501099,175.392402,417.4599915,8.523881647
01/06/2020,3038.780029,77.31998637,175.2100249,418.8299866,8.801633514
02/06/2020,3064.780029,78.05000523,176.8513623,425.8699951,8.764767488
03/06/2020,3098.899902,79.0014556,177.3984842,426.9500122,8.790674235
04/06/2020,3111.560059,78.93575986,176.8993583,422.3900146,8.70073045
05/06/2020,3163.840088,78.68268408,175.2868171,407.2900085,8.767023232
08/06/2020,3199.919922,80.3616931,178.4735186,416,8.849514298
09/06/2020,3213.320068,80.82159908,180.4507893,421.6499939,8.772504765
10/06/2020,3213.419922,84.65658514,183.455087,436,9.139106707
11/06/2020,3123.530029,84.99968557,185.374787,428.2000122,9.121410387
12/06/2020,3071.040039,83.88276702,182.8887706,429,9.133872474
15/06/2020,2993.76001,81.09170972,177.1681344,421.3999939,8.78770782
16/06/2020,3131,85.52285421,185.1444476,425.7600098,9.196177746
17/06/2020,3136.129883,86.42076456,187.1984868,441.8200073,9.085275187
18/06/2020,3101.639893,85.51069272,186.2098449,448.730011,9.198170198
19/06/2020,3140.290039,86.29666531,190.6155428,449.1199951,9.2136225
22/06/2020,3094.419922,85.49366152,187.9279515,455.0100098,9.270942581
23/06/2020,3138.699951,88.57429406,193.9749653,466.5,9.521158319
24/06/2020,3114.399902,88.81761198,193.5046701,468.5400085,9.446642176
25/06/2020,3046.600098,87.77127956,189.8572287,458.8599854,9.326517907
26/06/2020,3073.199951,88.67405701,191.7097393,466.3900146,9.470319529
29/06/2020,3018.590088,85.95844003,187.9183977,445.230011,9.14110193
30/06/2020,3050.199951,87.62040544,189.934037,450.019989,9.284898769
01/07/2020,3105.919922,88.84682302,194.9828237,454,9.491005232
02/07/2020,3143.639893,89.51113286,197.4208427,485.6400146,9.608884206
06/07/2020,3155.290039,90.03429319,200.4443228,480.769989,9.711313644
07/07/2020,3166.439941,91.35075504,201.9992432,497.3099976,9.915173456
08/07/2020,3153.070068,91.66952984,201.6345411,498.5799866,9.962527349
09/07/2020,3176.169922,93.69651909,207.6431492,508.3999939,10.34781724
10/07/2020,3152.469971,92.79370831,205.0420012,519.7299805,10.55566622
