Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,MSFT,NFLX,NVDA,RDDT,^GSPC,AAPL,MSFT,NFLX,NVDA,RDDT,^GSPC,AAPL,MSFT,NFLX,NVDA,RDDT,^GSPC,AAPL,MSFT,NFLX,NVDA,RDDT,^GSPC,AAPL,MSFT,NFLX,NVDA,RDDT,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.71607971191406,153.32327270507812,329.80999755859375,5.972710609436035,,3257.85009765625,72.77660582997152,153.4282761547816,329.9800109863281,5.972710609436035,,3258.139892578125,71.46681974859514,151.13731033565847,324.7799987792969,5.893293961011548,,3235.530029296875,71.7210264890596,151.56686460604337,326.1000061035156,5.943831871358628,,3244.669921875,135480400,22622100,4485800,237536000,,3459930000
2020-01-03,72.00912475585938,151.41412353515625,325.8999938964844,5.877111911773682,,3234.85009765625,72.7717522953066,152.68370535175205,329.8599853515625,5.920928372082976,,3246.14990234375,71.78396939069293,150.87956583671692,325.5299987792969,5.828067391556445,,3222.340087890625,71.94133580542943,151.12776374356721,326.7799987792969,5.852963118433237,,3226.360107421875,146322800,21116200,3806900,205384000,,3484700000
2020-01-06,72.58291625976562,151.80548095703125,335.8299865722656,5.901758193969727,,3246.280029296875,72.62165386110323,151.87230794316667,336.3599853515625,5.906986253744551,,3246.840087890625,70.87608272259153,149.39995707140503,321.20001220703125,5.757612845980144,,3214.639892578125,71.12787343706493,149.9440697335836,323.1199951171875,5.783753144854267,,3217.550048828125,118387200,20813700,5663100,262636000,,3702460000
2020-01-07,72.24153900146484,150.4213409423828,330.75,5.973208427429199,,3237.179931640625,72.84921605109494,152.4163913806182,336.70001220703125,6.019016389767921,,3244.909912109375,72.02122310005907,150.17315765832723,330.29998779296875,5.885077875706448,,3232.429931640625,72.59258596559819,152.082300178882,336.4700012207031,5.930138904576814,,3241.860107421875,108872000,21634100,4703200,314856000,,3435910000
2020-01-08,73.40364074707031,152.8173370361328,339.260009765625,5.984410762786865,,3253.050048828125,73.70627127642481,153.49508916164322,342.70001220703125,6.025737594210657,,3267.070068359375,71.94375136900179,150.77455475450427,331.04998779296875,5.928893621703769,,3236.669921875,71.94375136900179,151.71003067939102,331.489990234375,5.9689754058806495,,3238.590087890625,132079200,27746500,7104500,277108000,,3726840000
2020-01-09,74.9627914428711,154.72647094726562,335.6600036621094,6.050135612487793,,3274.699951171875,75.15647202012606,154.85056988722462,343.4200134277344,6.122581982150514,,3275.580078125,74.13237506994084,153.7146276185013,334.6099853515625,5.9963611540245205,,3263.669921875,74.38415834268419,154.48782810310033,342.0,6.070799029601755,,3266.030029296875,170108400,21385000,4709300,255112000,,3641230000
2020-01-10,75.13227081298828,154.0105743408203,329.04998779296875,6.082500457763672,,3265.35009765625,75.69880172853615,155.8051735619528,338.5,6.187809062014118,,3282.989990234375,74.62869680726308,153.8578393931481,327.2699890136719,6.068310145421286,,3260.860107421875,75.19764374317383,155.42335075837863,337.1300048828125,6.157436456326926,,3281.81005859375,140644800,20725900,4718300,316296000,,3214580000
2020-01-13,76.73743438720703,155.86244201660156,338.9200134277344,6.273200511932373,,3288.1298828125,76.764069722162,155.89107799794456,340.8500061035156,6.298345055146926,,3288.1298828125,75.33080794077236,153.93420340107278,331.510009765625,6.142996195216413,,3268.429931640625,75.44944416084779,154.41148917759733,331.79998779296875,6.165651593424438,,3271.1298828125,121532000,21626500,6290000,319840000,,3459390000
