Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,NDAQ,^GSPC,NDAQ,^GSPC,NDAQ,^GSPC,NDAQ,^GSPC,NDAQ,^GSPC
Date,,,,,,,,,,
2020-01-02,33.32582092285156,3257.85009765625,33.36909535266842,3258.139892578125,33.12491352831684,3235.530029296875,33.15273381526384,3244.669921875,1923900,3459930000
2020-01-03,33.4680061340332,3234.85009765625,33.52982271078058,3246.14990234375,32.992012126070065,3222.340087890625,33.066191310721536,3226.360107421875,2164800,3484700000
2020-01-06,33.44636154174805,3246.280029296875,33.46181568252697,3246.840087890625,33.03836727306795,3214.639892578125,33.316545344314655,3217.550048828125,2155200,3702460000
2020-01-07,32.893096923828125,3237.179931640625,33.4618192696936,3244.909912109375,32.88382585325733,3232.429931640625,33.381457021583,3241.860107421875,1673100,3435910000
2020-01-08,32.71073913574219,3253.050048828125,33.06000488123645,3267.070068359375,32.52837742307299,3236.669921875,32.920917597677814,3238.590087890625,3501000,3726840000
2020-01-09,33.180564880371094,3274.699951171875,33.347472525157265,3275.580078125,32.76020776828066,3263.669921875,32.846749590798744,3266.030029296875,1590000,3641230000
2020-01-10,33.022926330566406,3265.35009765625,33.3351043437402,3282.989990234375,33.00438064677432,3260.860107421875,33.30419604982922,3281.81005859375,1281900,3214580000
2020-01-13,33.100196838378906,3288.1298828125,33.236196160436634,3288.1298828125,33.019834567315925,3268.429931640625,33.07238008149527,3271.1298828125,1184400,3459390000
2020-01-14,32.93328857421875,3283.14990234375,33.15274169983418,3294.25,32.86528891452869,3277.18994140625,33.15274169983418,3285.35009765625,2115600,3687620000
2020-01-15,33.33818817138672,3289.2900390625,33.44636717505958,3298.659912109375,32.88691940273837,3280.68994140625,32.88691940273837,3282.27001953125,1869600,3721490000
2020-01-16,33.4772834777832,3316.81005859375,33.57928297086258,3317.110107421875,33.31346739637482,3302.820068359375,33.55455775042199,3302.969970703125,3255900,3540580000
2020-01-17,33.78636932373047,3329.6201171875,33.80491500538564,3329.8798828125,33.39073401046536,3318.860107421875,33.523641781304825,3323.659912109375,2372400,3726220000
2020-01-21,33.767822265625,3320.7900390625,34.046000404659196,3329.7900390625,33.68127693383769,3316.610107421875,33.72763936747223,3321.030029296875,2201400,4104840000
2020-01-22,33.73381423950195,3321.75,33.829630619832464,3337.77001953125,33.44945309688714,3320.0400390625,33.80799340783889,3330.02001953125,1757700,3623780000
2020-01-23,33.88528060913086,3325.5400390625,33.90073829467061,3326.8798828125,33.52983166072841,3301.8701171875,33.70601036637566,3315.77001953125,1449600,3766710000
2020-01-24,34.06454849243164,3295.469970703125,34.08927371055961,3333.179931640625,33.76473311496005,3281.530029296875,33.89454935319987,3333.10009765625,2087700,3708780000
2020-01-27,33.931636810302734,3243.6298828125,34.086178248874674,3258.85009765625,33.69054650656764,3234.5,33.73072940293242,3247.159912109375,2938800,3831050000
2020-01-28,34.351993560791016,3276.239990234375,34.49108439189401,3285.780029296875,33.93781614090697,3253.219970703125,33.94709074950144,3255.35009765625,3175800,3531570000
2020-01-29,35.65016174316406,3273.39990234375,35.783069497705824,3293.469970703125,33.92545247022249,3271.889892578125,34.6641704232287,3289.4599609375,3825300,3600250000
2020-01-30,35.841793060302734,3283.659912109375,35.89125056143536,3285.909912109375,35.05052963780488,3242.800048828125,35.62234352731257,3256.449951171875,2971200,3790350000
2020-01-31,35.99634552001953,3225.52001953125,36.101436541664626,3282.330078125,35.7150758206539,3214.679931640625,35.80780423305465,3282.330078125,2736900,4529700000
2020-02-03,36.40743637084961,3248.919921875,36.74743470013906,3268.43994140625,36.17252907738194,3235.659912109375,36.24980335434467,3235.659912109375,2156400,3760460000
2020-02-04,36.6794319152832,3297.590087890625,37.16160907212915,3306.919921875,36.61452379197966,3280.610107421875,36.76288572199169,3280.610107421875,2600100,3996900000
2020-02-05,35.99943542480469,3334.68994140625,36.858698629813944,3337.580078125,35.82325321784313,3313.75,36.85560709333618,3324.909912109375,3060600,4121480000
2020-02-06,35.807796478271484,3345.780029296875,36.234336471258715,3347.9599609375,35.70888501405589,3334.389892578125,36.228153399361965,3344.919921875,2731800,3887250000
2020-02-07,35.33799362182617,3327.7099609375,35.94689552555675,3341.419921875,35.31017686363993,3322.1201171875,35.84489602923701,3335.5400390625,2878200,3733920000
2020-02-10,35.77070617675781,3352.090087890625,35.80779753477973,3352.260009765625,35.23907516919896,3317.77001953125,35.27307499118128,3318.280029296875,2823900,3462730000
2020-02-11,35.483253479003906,3357.75,36.0643384518616,3375.6298828125,35.44616212095996,3352.719970703125,35.767614661963194,3365.8701171875,1389000,3762940000
2020-02-12,35.25453567504883,3379.449951171875,35.56362212748791,3381.469970703125,34.90835785789342,3369.719970703125,35.51416815360857,3370.5,1747800,3930910000
2020-02-13,35.359622955322266,3373.93994140625,35.5141679492662,3385.090087890625,35.22053564427721,3360.52001953125,35.288535300123456,3365.89990234375,1229400,3500890000
2020-02-14,35.91598129272461,3380.159912109375,35.93143543774291,3380.68994140625,35.4338041862541,3366.14990234375,35.4338041862541,3378.080078125,1591200,3419700000
2020-02-18,35.752166748046875,3370.2900390625,35.90362020542509,3375.010009765625,34.96708270638965,3355.610107421875,35.08144479926152,3369.0400390625,3255300,3750400000
2020-02-19,35.6285285949707,3386.14990234375,36.26525068990835,3393.52001953125,35.6068949142454,3378.830078125,35.84489016281317,3380.389892578125,2179200,3614200000
2020-02-20,35.387447357177734,3373.22998046875,35.792350265473246,3389.14990234375,35.02581535434291,3341.02001953125,35.715079528140734,3380.449951171875,2076900,4019180000
2020-02-21,35.6007080078125,3337.75,35.68416179695429,3360.760009765625,35.23289302836433,3328.449951171875,35.310167282490205,3360.5,7581600,3908780000
2020-02-24,35.46471405029297,3225.889892578125,35.67489255420628,3259.81005859375,34.73835859051441,3214.64990234375,34.877449439079335,3257.610107421875,3653400,4851160000
2020-02-25,34.74454116821289,3128.2099609375,35.64398375449733,3246.989990234375,34.57145049412166,3118.77001953125,35.51725905408469,3238.93994140625,2890800,5596760000
2020-02-26,34.933082580566406,3116.389892578125,35.439988458557785,3182.510009765625,34.76308697961189,3108.989990234375,34.76308697961189,3139.89990234375,2844300,5484650000
2020-02-27,33.211456298828125,2978.760009765625,34.77544090511587,3097.070068359375,33.17127694534442,2977.389892578125,34.617804415283885,3062.5400390625,4027500,7064710000
2020-02-28,31.69693946838379,2954.219970703125,32.59329412551248,2959.719970703125,31.054037769145765,2855.840087890625,32.52529446517041,2916.89990234375,6843000,8569570000
2020-03-02,34.03672790527344,3090.22998046875,34.107815552307436,3090.9599609375,31.8360210272278,2945.18994140625,31.8360210272278,2974.280029296875,3792300,6381330000
2020-03-03,34.02126693725586,3003.3701171875,35.257619552903236,3136.719970703125,33.73072623028686,2976.6298828125,34.22835739758125,3096.4599609375,3951600,6376510000
2020-03-04,35.96853256225586,3130.1201171875,36.02416607834251,3130.969970703125,34.15418593377104,3034.3798828125,34.670362949410446,3045.75,3619500,5073020000
2020-03-05,35.26689910888672,3023.93994140625,35.41835257066387,3083.0400390625,34.49108965443643,2999.830078125,34.79399657799074,3075.699951171875,4935300,5579290000
2020-03-06,34.1541862487793,2972.3701171875,34.70745463839774,2985.929931640625,33.279468758542826,2901.5400390625,34.268551893406936,2954.199951171875,3780000,6555240000
2020-03-09,32.67673873901367,2746.56005859375,33.51127303734666,2863.889892578125,31.66911026451359,2734.429931640625,31.749476049381606,2863.889892578125,4302600,8441290000
2020-03-10,32.36147689819336,2882.22998046875,33.62564301821449,2882.590087890625,31.58875545018266,2734.0,33.48037263109248,2813.47998046875,5967000,7642040000
2020-03-11,30.698589324951172,2741.3798828125,31.514581818263547,2825.60009765625,30.22568671488467,2707.219970703125,31.483673520845123,2825.60009765625,5482200,7431200000
2020-03-12,27.52468490600586,2480.639892578125,28.981198367940756,2660.949951171875,27.42220045938289,2478.860107421875,28.39424603051509,2630.860107421875,5299800,8850810000
2020-03-13,29.829023361206055,2711.02001953125,29.92840158555077,2711.330078125,26.6209676131718,2492.3701171875,28.928406870314944,2569.989990234375,5042700,8299070000
2020-03-16,26.49363899230957,2386.1298828125,28.813501450635144,2562.97998046875,25.884946470600994,2380.93994140625,27.018480913847828,2508.590087890625,4251600,7805450000
2020-03-17,29.51225471496582,2529.18994140625,29.776227900252852,2553.929931640625,27.018480408119224,2367.0400390625,27.16444328521142,2425.659912109375,6676200,8370250000
2020-03-18,28.43772315979004,2398.10009765625,29.655108044470058,2453.570068359375,27.68617586921638,2280.52001953125,28.08679495623202,2436.5,6797400,8799300000
2020-03-19,27.32903480529785,2409.389892578125,28.75759935337859,2466.969970703125,26.558853616446598,2319.780029296875,28.499836878530374,2393.47998046875,5260500,7956100000
2020-03-20,24.999855041503906,2304.919921875,27.89425001602595,2453.010009765625,24.742094349453325,2295.56005859375,27.89425001602595,2431.93994140625,6484500,9053950000
2020-03-23,22.627199172973633,2237.39990234375,25.02159504788969,2300.72998046875,22.254530865461483,2191.860107421875,25.02159504788969,2290.7099609375,5381700,7411380000
2020-03-24,25.773141860961914,2447.330078125,25.835252351557827,2449.7099609375,23.723463684891637,2344.43994140625,23.884954159081527,2344.43994140625,5926200,7563150000
2020-03-25,27.006059646606445,2475.56005859375,28.26692133677442,2571.419921875,25.552650421744726,2407.530029296875,25.773146971940097,2457.77001953125,5907300,8300010000
2020-03-26,29.136476516723633,2630.070068359375,29.841440927477368,2637.010009765625,27.344562472202934,2500.719970703125,27.344562472202934,2501.2900390625,5097900,7766990000
2020-03-27,28.81349754333496,2541.469970703125,29.639580266275974,2615.909912109375,27.72654790148187,2520.02001953125,27.96257026730601,2555.8701171875,3381900,6201670000
2020-03-30,30.88181495666504,2626.64990234375,31.002933284233535,2631.800048828125,28.82281938120678,2545.280029296875,29.20169843606284,2558.97998046875,4312200,5751120000
2020-03-31,29.487407684326172,2584.590087890625,31.17994536264536,2641.389892578125,29.372501844634225,2571.14990234375,30.906653492645912,2614.68994140625,4547100,6576210000
2020-04-01,28.655118942260742,2470.5,28.9718875008124,2522.75,27.950154387337058,2447.489990234375,27.987422112824525,2498.080078125,3176400,5964000000
2020-04-02,29.17995834350586,2526.89990234375,29.332131914229873,2533.219970703125,28.052636401468067,2455.7900390625,28.586793462886444,2458.5400390625,3711300,6464190000
2020-04-03,29.571256637573242,2488.64990234375,29.788646916471052,2538.179931640625,29.058837963758805,2459.9599609375,29.356972594125207,2514.919921875,2555700,6096970000
2020-04-06,31.549516677856445,2663.679931640625,31.760694547523077,2676.85009765625,30.4563524932409,2574.570068359375,31.021566672620608,2578.280029296875,2750400,6403840000
2020-04-07,31.347644805908203,2659.409912109375,33.263783363040204,2756.889892578125,31.124042056133174,2657.669921875,32.52154946860299,2738.64990234375,3376500,7050410000
2020-04-08,32.33832550048828,2749.97998046875,32.549506894045145,2760.75,31.437709004095293,2663.300048828125,31.530878311266164,2685.0,2234700,5875710000
2020-04-09,33.51533508300781,2789.820068359375,33.72341023139234,2818.570068359375,32.54018673831641,2762.360107421875,32.54018673831641,2776.989990234375,2221800,7899550000
2020-04-13,32.07746124267578,2761.6298828125,33.22652339795764,2782.4599609375,31.88491369438109,2721.169921875,32.698576977814774,2782.4599609375,2416800,5319530000
2020-04-14,33.40353775024414,2846.06005859375,33.5029159775475,2851.85009765625,32.38180646142071,2805.10009765625,32.810374622410755,2805.10009765625,4153200,5615730000
2020-04-15,32.919071197509766,2783.360107421875,33.57434844651851,2801.8798828125,32.4873967586509,2761.5400390625,32.95323268858758,2795.639892578125,2489700,5208000000
2020-04-16,33.63645553588867,2799.550048828125,33.829003071670385,2806.510009765625,33.074347662450954,2764.320068359375,33.19546598705189,2799.340087890625,2168100,5228810000
2020-04-17,34.54638671875,2874.56005859375,34.754458301977806,2879.219970703125,33.968747732978116,2830.8798828125,34.502906528311726,2842.429931640625,2321400,5804810000
2020-04-20,34.09297561645508,2823.159912109375,34.43458693195726,2868.97998046875,33.77620708016783,2820.429931640625,34.08986938054179,2845.6201171875,2768400,5228630000
2020-04-21,32.692359924316406,2736.56005859375,33.80726043354404,2785.5400390625,32.53397388804046,2727.10009765625,33.453224194261445,2784.81005859375,2905200,5121010000
2020-04-22,32.49360275268555,2799.31005859375,33.695460065268136,2815.10009765625,31.92528246282655,2775.949951171875,33.695460065268136,2787.889892578125,4088100,5084920000
2020-04-23,32.25136947631836,2797.800048828125,33.22030531017101,2844.89990234375,31.9314947313197,2794.260009765625,33.22030531017101,2810.419921875,2715300,5773530000
2020-04-24,32.80415725708008,2836.739990234375,32.841424975271096,2842.7099609375,31.97807631010208,2791.760009765625,32.537077866786476,2812.639892578125,2530800,5382810000
2020-04-27,34.667503356933594,2878.47998046875,34.7482477169293,2887.719970703125,33.22962539376348,2852.889892578125,33.26378687922845,2854.64990234375,2767800,5203930000
2020-04-28,34.53706741333008,2863.389892578125,35.53395578388883,2921.14990234375,34.363153762681854,2860.7099609375,35.25756123823015,2909.9599609375,3018600,5691160000
2020-04-29,34.65818405151367,2939.510009765625,35.164390247242416,2954.860107421875,34.540171984413305,2912.159912109375,35.01532293417538,2918.4599609375,2481000,6645640000
2020-04-30,34.058815002441406,2912.429931640625,34.51533218011613,2930.909912109375,33.63956199454418,2892.469970703125,33.77310170987271,2930.909912109375,2081400,6544980000
2020-05-01,33.11161804199219,2830.7099609375,33.39733135558732,2869.090087890625,32.86627869118444,2821.610107421875,33.22963014008683,2869.090087890625,2192100,4759810000
2020-05-04,32.959434509277344,2842.739990234375,33.11471073304307,2844.239990234375,32.41595706396246,2797.85009765625,32.8600563044493,2815.010009765625,2168100,4735930000
2020-05-05,33.797950744628906,2868.43994140625,33.999809897703344,2898.22998046875,32.900436835384625,2863.550048828125,33.39733156662906,2868.8798828125,2899500,5140290000
2020-05-06,32.80415725708008,2848.419921875,34.08986510230846,2891.110107421875,32.79484210455493,2847.64990234375,34.08986510230846,2883.139892578125,2130600,4892570000
2020-05-07,33.33209991455078,2881.18994140625,33.91905035596217,2901.919921875,33.05880811229362,2876.47998046875,33.151973833584314,2878.260009765625,1900800,5178790000
2020-05-08,33.41286087036133,2929.800048828125,33.940807328369885,2932.159912109375,33.25447480053103,2902.8798828125,33.91596099124022,2908.830078125,2685300,4876030000
2020-05-11,33.92527770996094,2930.18994140625,34.14577427860906,2944.25,32.872487538064085,2903.43994140625,32.91286150076363,2915.4599609375,2049900,4819730000
2020-05-12,33.69544982910156,2870.1201171875,34.3134590397844,2945.820068359375,33.60228055756598,2869.590087890625,34.161285524646544,2939.5,3211200,5119630000
2020-05-13,33.81657028198242,2820.0,34.25445704729829,2874.139892578125,33.3693683649565,2793.14990234375,33.701664455985515,2865.860107421875,2783100,6151650000
2020-05-14,33.99980926513672,2852.5,34.05881709048209,2852.800048828125,33.307267866184816,2766.639892578125,33.33832311992618,2794.5400390625,2379600,5651130000
2020-05-15,34.807254791259766,2863.699951171875,34.86005013621868,2865.010009765625,33.74825231850621,2816.780029296875,34.096079637283694,2829.949951171875,6235500,5507700000
2020-05-18,35.6954460144043,2953.909912109375,35.996686903305886,2968.090087890625,35.360047195072866,2913.860107421875,35.689237097074056,2913.860107421875,2595900,6373670000
2020-05-19,34.978057861328125,2922.93994140625,36.0215326857169,2964.2099609375,34.912841129059494,2922.35009765625,35.46563378956796,2948.590087890625,1923900,4984330000
2020-05-20,35.6240119934082,2971.610107421875,35.90351272086749,2980.2900390625,35.08985331006422,2953.6298828125,35.08985331006422,2953.6298828125,1594800,5005380000
2020-05-21,35.40041732788086,2948.510009765625,35.620913857450574,2978.5,35.096070205604086,2938.570068359375,35.36004692638213,2969.949951171875,2166000,4976620000
2020-05-22,35.819664001464844,2955.449951171875,35.95941614945118,2956.760009765625,35.35072201178464,2933.590087890625,35.428363673574715,2948.050048828125,1321800,3970860000
2020-05-26,36.11158752441406,2991.77001953125,37.040156388323275,3021.719970703125,36.03394941367044,2988.169921875,36.77617970370517,3004.080078125,1835700,5848500000
