Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BZ=F,^VIX,BZ=F,^VIX,BZ=F,^VIX,BZ=F,^VIX,BZ=F,^VIX
Date,,,,,,,,,,
2020-01-02,66.25,12.470000267028809,66.56999969482422,13.720000267028809,65.7300033569336,12.420000076293945,66.47000122070312,13.460000038146973,25810,0.0
2020-01-03,68.5999984741211,14.020000457763672,69.4800033569336,16.200000762939453,66.22000122070312,13.130000114440918,66.29000091552734,15.010000228881836,78848,0.0
2020-01-06,68.91000366210938,13.850000381469727,70.72000122070312,16.389999389648438,68.19000244140625,13.539999961853027,69.06999969482422,15.449999809265137,51933,0.0
2020-01-07,68.2699966430664,13.789999961853027,68.73999786376953,14.460000038146973,67.6500015258789,13.390000343322754,68.58000183105469,13.84000015258789,41178,0.0
2020-01-08,65.44000244140625,13.449999809265137,71.98999786376953,15.239999771118164,64.94000244140625,12.829999923706055,68.47000122070312,15.15999984741211,85232,0.0
2020-01-09,65.37000274658203,12.539999961853027,66.08999633789062,13.239999771118164,64.55000305175781,12.529999732971191,65.79000091552734,12.949999809265137,50520,0.0
2020-01-10,64.9800033569336,12.5600004196167,65.66000366210938,12.869999885559082,64.86000061035156,12.09000015258789,65.41000366210938,12.420000076293945,46595,0.0
2020-01-13,64.19999694824219,12.319999694824219,65.25,13.09000015258789,63.91999816894531,12.319999694824219,65.18000030517578,12.84000015258789,35430,0.0
2020-01-14,64.48999786376953,12.390000343322754,65.04000091552734,13.819999694824219,63.90999984741211,12.050000190734863,64.22000122070312,12.720000267028809,34682,0.0
2020-01-15,64.0,12.420000076293945,64.61000061035156,12.829999923706055,63.54999923706055,11.949999809265137,64.45999908447266,12.789999961853027,34164,0.0
2020-01-16,64.62000274658203,12.319999694824219,64.95999908447266,12.420000076293945,63.91999816894531,11.779999732971191,64.30999755859375,12.199999809265137,38391,0.0
2020-01-17,64.8499984741211,12.100000381469727,65.13999938964844,12.479999542236328,64.48999786376953,11.75,64.75,12.210000038146973,35541,0.0
2020-01-21,64.58999633789062,12.850000381469727,66.0,13.329999923706055,64.05999755859375,12.319999694824219,65.4000015258789,13.229999542236328,50484,0.0
2020-01-22,63.209999084472656,12.90999984741211,64.58999633789062,13.010000228881836,62.529998779296875,12.3100004196167,64.54000091552734,12.449999809265137,35127,0.0
2020-01-23,62.040000915527344,12.979999542236328,62.779998779296875,14.149999618530273,61.25,12.9399995803833,62.630001068115234,13.260000228881836,43330,0.0
2020-01-24,60.689998626708984,14.5600004196167,62.459999084472656,15.979999542236328,60.220001220703125,12.619999885559082,62.119998931884766,12.75,43263,0.0
2020-01-27,59.31999969482422,18.229999542236328,60.4900016784668,19.020000457763672,58.5,16.81999969482422,60.279998779296875,17.420000076293945,39367,0.0
2020-01-28,59.5099983215332,16.280000686645508,60.11000061035156,18.030000686645508,58.5,15.6899995803833,58.95000076293945,16.940000534057617,41537,0.0
2020-01-29,59.810001373291016,16.389999389648438,60.61000061035156,16.649999618530273,59.25,14.9399995803833,59.66999816894531,15.680000305175781,21453,0.0
2020-01-30,58.290000915527344,15.489999771118164,59.61000061035156,18.389999389648438,57.72999954223633,15.300000190734863,59.61000061035156,17.81999969482422,17435,0.0
2020-01-31,58.15999984741211,18.84000015258789,59.529998779296875,19.989999771118164,57.97999954223633,16.18000030517578,59.06999969482422,16.25,68547,0.0
2020-02-03,54.45000076293945,17.969999313354492,56.7599983215332,18.8799991607666,54.06999969482422,17.100000381469727,55.849998474121094,18.639999389648438,66338,0.0
2020-02-04,53.959999084472656,16.049999237060547,55.63999938964844,16.459999084472656,53.689998626708984,15.630000114440918,54.150001525878906,16.450000762939453,52393,0.0
2020-02-05,55.279998779296875,15.149999618530273,56.470001220703125,16.31999969482422,53.880001068115234,15.020000457763672,53.880001068115234,16.290000915527344,56117,0.0
2020-02-06,54.93000030517578,14.960000038146973,56.560001373291016,15.65999984741211,54.2400016784668,14.699999809265137,55.56999969482422,15.130000114440918,50605,0.0
2020-02-07,54.470001220703125,15.470000267028809,55.470001220703125,16.15999984741211,54.209999084472656,14.8100004196167,55.36000061035156,15.069999694824219,43796,0.0
